train_name,station_name,average_delay_minutes,rnk
August Kranti Rajdhani,BORIVALI,29.0,1
August Kranti Rajdhani,DAHOD,25.5,2
August Kranti Rajdhani,KOTA JN,23.0,3
August Kranti Rajdhani,VAPI,23.0,3
Chennai Express,THANE,54.0,1
Chennai Express,KALYAN JN,51.0,2
Chennai Express,KODURU,45.0,3
Chennai Intercity,AHMADNAGAR,90.0,1
Chennai Intercity,AHMADNAGAR,90.0,1
Chennai Intercity,KRISHNARAJAPURM,73.0,3
Chennai Vande Bharat,KALYAN JN,29.0,1
Chennai Vande Bharat,DADAR,19.0,2
Chennai Vande Bharat,THANE,18.0,3
Cheran Express,PERAMBUR,32.0,1
Cheran Express,ARAKKONAM,28.0,2
Cheran Express,SALEM JN,25.0,3
Cheran Express,ERODE JN,25.0,3
Coimbatore Express,GANAGAPUR ROAD,67.0,1
Coimbatore Express,KALABURAGI JN,66.0,2
Coimbatore Express,DUDHANI,63.0,3
Coimbatore Express,DUDHANI,63.0,3
Coimbatore Intercity,BOMMIDI,29.0,1
Coimbatore Intercity,MORAPPUR,28.0,2
Coimbatore Intercity,TIRUPPUR,28.0,2
Coimbatore Intercity,COIMBATORE NRTH,28.0,2
Coromandel Express,RAJAMUNDRY,131.0,1
Coromandel Express,JAJPUR K ROAD,104.0,2
Coromandel Express,RAJAMUNDRY,100.0,3
Devagiri Express,NASIK ROAD,62.0,1
Devagiri Express,THANE,62.0,1
Devagiri Express,DADAR,61.0,3
Dibrugarh Rajdhani,NEW TINSUKIA JN,49.0,1
Dibrugarh Rajdhani,DIPHU,37.0,2
Dibrugarh Rajdhani,RANGIYA JN,34.0,3
Duronto Express,PRAYAGRAJ JN,159.0,1
Duronto Express,ARA,157.0,2
Duronto Express,BUXAR,152.0,3
Duronto Express,JASIDIH JN,152.0,3
Garib Rath,RATNAGIRI,66.0,1
Garib Rath,RATNAGIRI,58.0,2
Garib Rath,KASARAGOD,55.0,3
Gatimaan Express,V LAKSHMIBAI JHANSI,22.5,1
Gatimaan Express,GWALIOR,19.0,2
Gatimaan Express,AGRA CANTT,15.0,3
Golden Temple Mail,MUZAFFARNAGAR,63.0,1
Golden Temple Mail,SAKHOTI TANDA,61.0,2
Golden Temple Mail,SAKHOTI TANDA,61.0,2
